Day,LeafArea,Stage
16,9.054187192,early
16,9.369458128,early
17,6.0591133,early
17,8.147783251,early
17,8.266009852,early
18,8.226600985,early
18,8.344827586,early
18,8.935960591,early
17,3.093922652,late
17,2.099447514,late
17,1.104972376,late
17,0.44198895,late
18,6.740331492,late
18,5.082872928,late
18,3.756906077,late
18,2.099447514,late
18,0.44198895,late
18,0.110497238,late
19,13.37016575,late
19,13.03867403,late
19,11.04972376,late
19,9.060773481,late
19,8.066298343,late
19,6.077348066,late
19,4.08839779,late
19,2.099447514,late
19,1.104972376,late
19,1.767955801,late
19,0.44198895,late
19,1.104972376,late
20,24.64088398,late
20,22.32044199,late
20,21.65745856,late
20,19.66850829,late
20,18.67403315,late
20,16.35359116,late
20,15.35911602,late
20,14.03314917,late
20,12.70718232,late
20,8.397790055,late
20,6.408839779,late
20,5.082872928,late
20,3.756906077,late
20,2.762430939,late
20,1.767955801,late
21,33.25966851,late
21,28.61878453,late
21,26.96132597,late
21,25.3038674,late
21,23.31491713,late
21,22.6519337,late
21,20.99447514,late
21,19.33701657,late
21,16.35359116,late
21,13.70165746,late
21,15.02762431,late
21,13.03867403,late
21,12.0441989,late
21,11.04972376,late
21,9.060773481,late
21,6.740331492,late
21,5.745856354,late
21,4.751381215,late
22,43.86740331,late
22,42.54143646,late
22,39.55801105,late
22,38.56353591,late
22,35.91160221,late
22,31.27071823,late
22,30.60773481,late
22,29.61325967,late
22,26.96132597,late
22,23.31491713,late
22,20.99447514,late
22,20.33149171,late
22,19.00552486,late
22,17.01657459,late
22,16.02209945,late
22,14.6961326,late
22,13.70165746,late
22,13.03867403,late
22,11.38121547,late
23,58.12154696,late
23,54.47513812,late
23,53.48066298,late
23,51.16022099,late
23,47.84530387,late
23,46.1878453,late
23,44.86187845,late
23,43.5359116,late
23,42.20994475,late
23,40.55248619,late
23,39.55801105,late
23,36.90607735,late
23,29.94475138,late
23,27.29281768,late
23,26.62983425,late
23,25.63535912,late
23,24.64088398,late
23,20.99447514,late
24,63.42541436,late
24,62.43093923,late
24,61.43646409,late
24,60.77348066,late
24,59.1160221,late
24,57.79005525,late
24,57.12707182,late
24,52.48618785,late
24,51.49171271,late
24,49.83425414,late
24,47.84530387,late
24,45.85635359,late
24,43.5359116,late
24,42.20994475,late
24,41.21546961,late
24,39.88950276,late
24,38.56353591,late
24,37.56906077,late
24,36.57458564,late
24,34.91712707,late
24,33.92265193,late
24,32.59668508,late
24,29.28176796,late
25,79.00552486,late
25,69.72375691,late
25,67.0718232,late
25,64.4198895,late
25,63.09392265,late
25,60.44198895,late
25,59.44751381,late
25,58.45303867,late
25,57.45856354,late
25,56.13259669,late
25,51.82320442,late
25,50.49723757,late
25,50.16574586,late
25,49.17127072,late
25,48.50828729,late
25,45.52486188,late
25,44.53038674,late
25,43.20441989,late
25,42.20994475,late
