HAUL ID,Year,Date,Sea,Ices division,Predator Latin name,Predator common name,Pooled,Mean length of predator,Prey Latin name,Prey common name,Prey group,Predator ID,Number of stomachs,Prey Length,Minimum number
END04-11-1,2011,18/02/2011,Celtic Sea,VIIf,RAJA BRACHYURA,BLONDE RAY,n,55,AMMODYTES SPP,SANDEELS,Teleost,END04-11-1/BLR-1,1,,16
CLARK-1921-S1,1921,1/3/1921,Channel,VIIe,RAJA BRACHYURA,BLONDE RAY,y,34.7,PERACARIDA - MYSIDACEA,PERACARID CRUSTACEAN,Mysid,CLARK-1921-S1/BLR-1,27,,10
SALPA-1929-S4,1929,16/06/1929,Channel,VIIe,RAJA BRACHYURA,BLONDE RAY,y,54.5,PERACARIDA - MYSIDACEA,PERACARID CRUSTACEAN,Mysid,SALPA-1929-S4/BLR-3,1,,1
CLION11-83-7,1983,12/9/1983,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,35,CARIDEA,SHRIMPS,Shrimp,CLION11-83-7\BLR-1,1,,1
PLATESSA-07-1965-1,1965,22/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,19,CARIDEA,SHRIMPS,Shrimp,PLATESSA-07-1965-1\BLR-1,1,,1
PLATESSA-07-1965-36,1965,23/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,22,CARIDEA,SHRIMPS,Shrimp,PLATESSA-07-1965-36\BLR-1,1,,1
PLATESSA-07-1965-42,1965,24/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,22,CARIDEA,SHRIMPS,Shrimp,PLATESSA-07-1965-42\BLR-2,1,,1
PLATESSA-07-1965-50,1965,24/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,20,CARIDEA,SHRIMPS,Shrimp,PLATESSA-07-1965-50\BLR-1,1,,1
PLATESSA-07-1965-6,1965,22/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,23,CARIDEA,SHRIMPS,Shrimp,PLATESSA-07-1965-6\BLR-1,1,,1
PLATESSA-07-1965-6,1965,22/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,19,CARIDEA,SHRIMPS,Shrimp,PLATESSA-07-1965-6\BLR-2,1,,1
PLATESSA-07-1965-6,1965,22/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,20,CARIDEA,SHRIMPS,Shrimp,PLATESSA-07-1965-6\BLR-3,1,,1
PLATESSA-07-1965-6,1965,22/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,20,CARIDEA,SHRIMPS,Shrimp,PLATESSA-07-1965-6\BLR-4,1,,1
PLATESSA-07-1965-7,1965,23/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,23,CARIDEA,SHRIMPS,Shrimp,PLATESSA-07-1965-7\BLR-1,1,,1
OITHONA-1901-A4,1901,15/03/1905,Channel,VIIe,RAJA BRACHYURA,BLONDE RAY,y,,TRACHINUS (ECHIICHTHYS) VIPERA,LESSER WEEVER FISH,Teleost,OITHONA-1901-A4\BLR-1,8,,2
SALPA-1929-S4,1929,16/06/1929,Channel,VIIe,RAJA BRACHYURA,BLONDE RAY,y,24.5,UPOGEBIA DELTAURA,MUD SHRIMP,Shrimp,SALPA-1929-S4/BLR-1,4,,1
SALPA-1928-S4,1928,16/12/1928,Channel,VIIe,RAJA BRACHYURA,BLONDE RAY,y,54.5,UPOGEBIA DELTAURA,MUD SHRIMP,Shrimp,SALPA-1928-S4/BLR-4,3,,1
